Command,Exit code,Shell,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches
"ps Aux",0,"/bin/bash -c",10214,31442,3194880,1102,4,0,14
"ps Aux",0,"/bin/bash -c",10216,31533,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10198,31307,3162112,1100,4,0,14
"ps Aux",0,"/bin/bash -c",10205,31525,3162112,1100,4,0,14
"ps Aux",0,"/bin/bash -c",10203,31433,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10319,31905,4014080,1152,4,0,15
"ps Aux",0,"/bin/bash -c",10263,31565,3096576,1097,4,0,14
"ps Aux",0,"/bin/bash -c",10612,34769,4341760,1172,4,0,65
"ps Aux",0,"/bin/bash -c",10262,31670,3080192,1096,4,0,14
"ps Aux",0,"/bin/bash -c",10334,31563,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10251,31361,3194880,1102,4,0,14
"ps Aux",0,"/bin/bash -c",10268,31482,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10272,31636,3375104,1113,4,0,14
"ps Aux",0,"/bin/bash -c",10229,31590,3145728,1099,4,0,14
"ps Aux",0,"/bin/bash -c",10227,31501,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10243,31560,3194880,1102,4,0,14
"ps Aux",0,"/bin/bash -c",10287,31416,3162112,1100,4,0,14
"ps Aux",0,"/bin/bash -c",10215,31610,3162112,1100,4,0,14
"ps Aux",0,"/bin/bash -c",10275,32181,3391488,1114,4,0,29
"ps Aux",0,"/bin/bash -c",10212,31926,3391488,1114,4,0,14
"ps Aux",0,"/bin/bash -c",10190,31955,3162112,1100,4,0,14
"ps Aux",0,"/bin/bash -c",10156,31964,3162112,1102,4,0,17
"ps Aux",0,"/bin/bash -c",10158,31561,3194880,1104,4,0,16
"ps Aux",0,"/bin/bash -c",10214,31374,3391488,1116,4,0,14
"ps Aux",0,"/bin/bash -c",10220,31581,3194880,1104,4,0,14
"ps Aux",0,"/bin/bash -c",10223,31493,3162112,1102,4,0,14
"ps Aux",0,"/bin/bash -c",10247,31620,3194880,1104,4,0,14
"ps Aux",0,"/bin/bash -c",10244,31512,3194880,1104,4,0,14
"ps Aux",0,"/bin/bash -c",10254,31629,3375104,1115,4,0,14
"ps Aux",0,"/bin/bash -c",10257,31628,3162112,1102,4,0,14
"find /usr/local/lib \"*.dylib\"",1,"/bin/bash -c",7470,123604,1605632,372,4,0,3
"find /usr/local/lib \"*.dylib\"",1,"/bin/bash -c",7515,123733,1703936,379,4,0,4
"find /usr/local/lib \"*.dylib\"",1,"/bin/bash -c",7515,122473,1605632,373,4,0,3
"find /usr/local/lib \"*.dylib\"",1,"/bin/bash -c",7502,123188,1605632,372,4,0,3
