Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -la","",0,742,3168,2015232,441,0,0,19,24374
"ls -la","",0,760,3287,1867776,432,0,0,20,24419
"ls -la","",0,784,2083,2179072,451,0,0,20,24156
"ls -la","",0,733,4081,1949696,437,0,0,18,24439
"ls -la","",0,743,4031,1933312,437,0,0,18,23916
"ls -la","",0,760,3992,1687552,422,0,0,21,24349
"ls -la","",0,746,4065,1867776,433,0,0,19,23506
"ls -la","",0,690,3993,1851392,432,0,0,19,24214
"ls -la","",0,726,2095,2048000,444,0,0,25,37579
"ls -la","",0,745,3640,2146304,450,0,0,22,25173
"ls -la","",0,730,3360,1867776,433,0,0,20,24560
"ls -la","",0,740,4064,1949696,438,0,0,20,24227
"ls -la","",0,718,4191,1900544,435,0,0,16,25722
"ls -la","",0,708,4066,1851392,432,0,0,19,24322
"ls -la","",0,738,3519,1687552,422,0,0,23,23857
"ls -la","",0,724,4077,1949696,438,0,0,19,24147
"ls -la","",0,735,4109,1949696,438,0,0,20,23485
"ls -la","",0,766,3984,1687552,422,0,0,19,23836
"ls -la","",0,782,3966,1933312,437,0,0,19,24859
"ls -la","",0,905,3440,2113536,448,0,0,29,27300
"ls -la","",0,788,2833,1769472,435,0,0,60,30728
"ls -la","",0,762,2646,1687552,422,0,0,19,24991
"ls -la","",0,750,4181,1900544,433,0,0,19,23931
"ls -la","",0,775,4020,1949696,436,0,0,18,24052
"ls -la","",0,718,4061,1949696,436,0,0,18,23637
"ls -la","",0,752,4118,1949696,436,0,0,19,23771
"ls -la","",0,730,4071,2146304,448,0,0,19,23837
"ls -la","",0,737,3705,1949696,436,0,0,20,23823
"ls -la","",0,774,4088,1720320,422,0,0,20,23798
"ls -la","",0,762,4075,1933312,435,0,0,19,23918
"ls -la","",0,740,4052,2064384,443,0,0,21,23715
"ls -la","",0,717,2232,2129920,447,0,0,17,24090
"ls -la","",0,728,3959,1949696,437,0,0,18,23564
"ls -la","",0,717,3863,1998848,440,0,0,19,24781
"ls -la","",0,755,3960,1687552,421,0,0,16,24039
"ls -la","",0,751,4094,1687552,421,0,0,21,24115
"ls -la","",0,751,4091,1982464,439,0,0,20,24151
"ls -la","",0,739,4113,1949696,437,0,0,19,24300
"ls -la","",0,744,3406,1867776,432,0,0,20,24207
"ls -la","",0,718,4013,1687552,421,0,0,20,24323
"ls -la","",0,749,4048,1654784,419,0,0,18,23823
"ls -la","",0,741,3969,1900544,434,0,0,19,24130
"ls -la","",0,727,4086,2129920,448,0,0,20,24045
"ls -la","",0,701,3046,1867776,432,0,0,19,24184
"ls -la","",0,724,4027,1867776,432,0,0,19,24325
"ls -la","",0,700,3926,1949696,437,0,0,17,24131
"ls -la","",0,705,3270,1982464,439,0,0,20,24154
"ls -la","",0,679,3903,1949696,437,0,0,20,24049
"ls -la","",0,713,3957,1851392,431,0,0,22,24306
"ls -la","",0,725,4010,1900544,434,0,0,19,24197
"ls -la","",0,748,3954,1884160,433,0,0,19,24270
"ls -la","",0,734,4026,1867776,432,0,0,22,24442
"ls -la","",0,721,3998,1933312,436,0,0,18,24027
"ls -la","",0,740,3114,1687552,421,0,0,20,25142
"ls -la","",0,723,2522,1933312,436,0,0,18,24711
"ls -la","",0,723,4077,1851392,431,0,0,21,24254
"ls -la","",0,726,3196,1851392,431,0,0,22,24156
"ls -la","",0,753,3426,1867776,432,0,0,17,23975
"ls -la","",0,743,3360,1900544,434,0,0,20,24408
"ls -la","",0,740,3298,1949696,437,0,0,19,24202
"ls -la","",0,725,3650,2146304,449,0,0,21,24392
"ls -la","",0,719,3016,1966080,438,0,0,20,24297
"ls -la","",0,769,2709,1654784,419,0,0,16,24278
"ls -la","",0,758,2849,1966080,438,0,0,19,24416
"ls -la","",0,718,2719,1851392,431,0,0,19,24009
"ls -la","",0,748,2464,2015232,441,0,0,19,24254
"ls -la","",0,689,2179,1851392,432,0,0,19,24250
"ls -la","",0,721,2265,1851392,432,0,0,19,24205
"ls -la","",0,742,2326,1949696,438,0,0,20,24358
"ls -la","",0,739,2001,1654784,420,0,0,19,24378
"ls -la","",0,742,2042,1949696,438,0,0,19,24309
"ls -la","",0,739,3988,1884160,434,0,0,18,24428
"ls -la","",0,722,2142,1949696,438,0,0,18,24342
"ls -la","",0,709,2188,2146304,449,0,0,20,24476
"ls -la","",0,717,3920,1933312,436,0,0,19,25051
"ls -la","",0,718,2007,1851392,432,0,0,19,24293
"ls -la","",0,719,2291,1949696,438,0,0,22,24337
"ls -la","",0,738,2250,1851392,432,0,0,21,24446
"ls -la","",0,752,2099,1982464,440,0,0,20,24232
"ls -la","",0,755,2233,1933312,437,0,0,19,24594
"ls -la","",0,735,2250,1687552,422,0,0,21,24429
"ls -la","",0,690,2296,1867776,433,0,0,20,24562
"ls -la","",0,717,2347,2146304,450,0,0,20,24581
"ls -la","",0,761,2174,2342912,463,0,0,18,24538
"ls -la","",0,742,2679,1949696,438,0,0,21,24374
"ls -la","",0,752,2353,1867776,433,0,0,19,24758
"ls -la","",0,719,2742,2129920,449,0,0,23,24602
"ls -la","",0,763,2387,1867776,433,0,0,19,24163
"ls -la","",0,723,2652,2146304,450,0,0,20,24828
"ls -la","",0,721,2757,1949696,438,0,0,18,24485
"ls -la","",0,731,2848,2146304,450,0,0,20,24486
"ls -la","",0,717,2536,2015232,442,0,0,19,24387
"ls -la","",0,738,2851,1654784,420,0,0,18,24394
"ls -la","",0,726,3071,1949696,438,0,0,18,24686
"ls -la","",0,688,2870,1687552,422,0,0,17,24535
"ls -la","",0,713,3127,1884160,434,0,0,20,24700
"ls -la","",0,732,3238,1687552,422,0,0,20,24392
"ls -la","",0,721,3343,1867776,433,0,0,19,24416
"ls -la","",0,731,3413,1966080,439,0,0,20,24395
"ls -la","",0,745,3258,1949696,438,0,0,20,24393
"ls -la","",0,724,3171,1687552,422,0,0,17,24604
"ls -la","",0,694,3269,1949696,438,0,0,20,24345
"ls -la","",0,741,3017,1654784,420,0,0,18,24160
"ls -la","",0,739,2857,1949696,438,0,0,17,24081
"ls -la","",0,729,2643,1851392,432,0,0,20,24486
