Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -lr","",0,735,3933,1802240,427,0,0,19,23675
"ls -lr","",0,724,4078,1867776,432,0,0,20,23938
"ls -lr","",0,758,3362,1949696,437,0,0,20,23590
"ls -lr","",0,719,3346,1900544,434,0,0,22,23940
"ls -lr","",0,723,2811,1851392,432,0,0,21,23651
"ls -lr","",0,743,2070,1687552,422,0,0,20,23909
"ls -lr","",0,727,2170,1851392,432,0,0,20,23824
"ls -lr","",0,729,4014,1867776,433,0,0,18,23833
"ls -lr","",0,725,4161,1867776,433,0,0,24,24527
"ls -lr","",0,739,4070,1802240,431,0,0,18,24326
"ls -lr","",0,744,4117,1867776,433,0,0,20,23842
"ls -lr","",0,717,3960,1949696,438,0,0,19,24012
"ls -lr","",0,747,4029,1949696,438,0,0,19,23756
"ls -lr","",0,740,3642,1867776,433,0,0,21,24892
"ls -lr","",0,723,3994,1802240,429,0,0,20,23759
"ls -lr","",0,750,2119,1949696,438,0,0,20,23947
"ls -lr","",0,744,3966,1949696,438,0,0,18,23711
"ls -lr","",0,719,4049,1982464,440,0,0,20,23733
"ls -lr","",0,726,3970,1851392,432,0,0,19,23614
"ls -lr","",0,735,4017,2146304,450,0,0,20,23952
"ls -lr","",0,746,4012,1900544,435,0,0,19,23665
"ls -lr","",0,726,2459,2146304,450,0,0,19,23970
"ls -lr","",0,756,2124,1933312,435,0,0,18,23502
"ls -lr","",0,749,3844,1851392,430,0,0,18,24110
"ls -lr","",0,741,3491,1687552,420,0,0,21,23902
"ls -lr","",0,727,3964,1949696,436,0,0,20,23949
"ls -lr","",0,746,4005,1654784,418,0,0,18,23860
"ls -lr","",0,721,4044,1982464,438,0,0,18,23760
"ls -lr","",0,689,3983,1867776,431,0,0,22,23446
"ls -lr","",0,772,2572,1949696,436,0,0,20,23996
"ls -lr","",0,733,4036,1949696,436,0,0,19,23422
"ls -lr","",0,757,3997,1867776,431,0,0,17,23769
"ls -lr","",0,748,4034,1687552,421,0,0,20,23642
"ls -lr","",0,771,4226,2064384,444,0,0,22,24619
"ls -lr","",0,750,3983,1687552,421,0,0,19,23894
"ls -lr","",0,724,4009,1818624,429,0,0,19,23939
"ls -lr","",0,748,4096,1867776,432,0,0,22,23814
"ls -lr","",0,750,4043,1949696,437,0,0,20,24005
"ls -lr","",0,766,4074,1949696,437,0,0,19,23765
"ls -lr","",0,723,3956,1835008,430,0,0,18,23691
"ls -lr","",0,723,3946,1654784,419,0,0,19,23660
"ls -lr","",0,715,3988,1900544,434,0,0,20,23832
"ls -lr","",0,711,4016,1867776,432,0,0,20,23866
"ls -lr","",0,726,3950,1654784,419,0,0,17,23652
"ls -lr","",0,664,3312,1687552,421,0,0,21,23318
"ls -lr","",0,689,3682,1949696,437,0,0,18,23765
"ls -lr","",0,675,3895,1687552,421,0,0,20,23305
"ls -lr","",0,684,3887,1966080,438,0,0,18,23753
"ls -lr","",0,723,4031,1900544,434,0,0,21,23906
"ls -lr","",0,732,4019,1720320,423,0,0,19,23822
"ls -lr","",0,742,4040,2015232,441,0,0,18,23844
"ls -lr","",0,757,4002,1867776,432,0,0,20,23764
"ls -lr","",0,734,3979,1851392,431,0,0,19,23560
"ls -lr","",0,750,3991,1949696,437,0,0,20,23746
"ls -lr","",0,755,3614,1916928,435,0,0,20,24148
"ls -lr","",0,727,3883,1687552,421,0,0,17,23587
"ls -lr","",0,735,3934,1654784,419,0,0,20,23439
"ls -lr","",0,727,4082,1687552,421,0,0,19,23738
"ls -lr","",0,741,3601,1949696,437,0,0,19,23889
"ls -lr","",0,742,3943,1654784,419,0,0,18,23831
"ls -lr","",0,744,3920,1687552,421,0,0,19,23570
"ls -lr","",0,727,3930,1867776,432,0,0,18,23900
"ls -lr","",0,735,3079,1949696,437,0,0,21,23759
"ls -lr","",0,741,4023,1949696,437,0,0,19,23955
"ls -lr","",0,721,4002,1949696,437,0,0,19,23525
"ls -lr","",0,713,2015,1867776,432,0,0,20,24048
"ls -lr","",0,734,2178,2146304,450,0,0,20,25804
"ls -lr","",0,728,3916,1982464,440,0,0,20,24267
"ls -lr","",0,723,2558,1867776,433,0,0,21,23699
"ls -lr","",0,759,4076,1966080,439,0,0,20,23580
"ls -lr","",0,722,3924,1998848,441,0,0,20,23783
"ls -lr","",0,740,4050,1933312,437,0,0,21,23670
"ls -lr","",0,727,3979,1720320,424,0,0,20,23807
"ls -lr","",0,740,3964,1949696,437,0,0,19,23700
"ls -lr","",0,739,2406,1851392,431,0,0,20,23664
"ls -lr","",0,800,2268,1933312,437,0,0,22,24651
"ls -lr","",0,760,4079,1933312,437,0,0,18,23587
"ls -lr","",0,754,2683,1933312,437,0,0,21,23697
"ls -lr","",0,751,3161,1851392,432,0,0,20,23569
"ls -lr","",0,731,4076,1949696,438,0,0,19,23665
"ls -lr","",0,779,4059,1982464,440,0,0,21,24011
"ls -lr","",0,741,4045,1982464,440,0,0,18,23700
"ls -lr","",0,753,3959,1867776,433,0,0,18,23497
"ls -lr","",0,711,4014,1851392,432,0,0,18,23760
"ls -lr","",0,744,4053,1949696,438,0,0,19,23714
"ls -lr","",0,734,3802,1654784,420,0,0,19,23617
"ls -lr","",0,698,4050,2129920,449,0,0,18,23561
"ls -lr","",0,738,4004,1851392,432,0,0,18,23681
"ls -lr","",0,740,4052,1851392,432,0,0,21,23619
"ls -lr","",0,727,2098,1884160,434,0,0,18,23740
