Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -lusr","",0,758,4160,1851392,424,0,0,22,24281
"ls -lusr","",0,768,3993,1867776,426,0,0,18,24036
"ls -lusr","",0,749,4047,1720320,417,0,0,20,23842
"ls -lusr","",0,724,3894,1687552,415,0,0,17,23992
"ls -lusr","",0,761,4092,1949696,431,0,0,20,24585
"ls -lusr","",0,746,3395,1654784,414,0,0,18,24461
"ls -lusr","",0,724,3043,1933312,431,0,0,19,24125
"ls -lusr","",0,738,4055,1851392,426,0,0,19,23664
"ls -lusr","",0,738,4067,1949696,432,0,0,20,23715
"ls -lusr","",0,763,4083,1900544,429,0,0,20,23733
"ls -lusr","",0,775,3315,2015232,436,0,0,18,23879
"ls -lusr","",0,765,4100,1949696,432,0,0,20,23943
"ls -lusr","",0,738,4083,1949696,432,0,0,20,23965
"ls -lusr","",0,735,3997,1949696,432,0,0,19,23770
"ls -lusr","",0,727,2135,1949696,432,0,0,20,23912
"ls -lusr","",0,748,4096,1867776,427,0,0,22,23553
"ls -lusr","",0,737,4066,2146304,445,0,0,19,23743
"ls -lusr","",0,747,4073,1949696,431,0,0,21,23875
"ls -lusr","",0,764,3332,1900544,428,0,0,20,23765
"ls -lusr","",0,762,4099,1687552,415,0,0,19,24871
"ls -lusr","",0,758,4000,1900544,428,0,0,19,25008
"ls -lusr","",0,740,4077,1949696,431,0,0,19,24074
"ls -lusr","",0,745,4091,2146304,443,0,0,18,23879
"ls -lusr","",0,745,4002,2129920,442,0,0,19,24021
"ls -lusr","",0,742,2062,1949696,431,0,0,20,24008
"ls -lusr","",0,751,3523,1687552,415,0,0,21,23809
"ls -lusr","",0,714,4026,1851392,425,0,0,18,23733
"ls -lusr","",0,758,4068,1933312,430,0,0,18,23783
"ls -lusr","",0,757,4093,1949696,431,0,0,19,23791
"ls -lusr","",0,725,3944,1687552,415,0,0,19,23649
"ls -lusr","",0,738,4095,1949696,431,0,0,18,23713
"ls -lusr","",0,750,3812,1687552,415,0,0,17,23679
"ls -lusr","",0,723,3846,2146304,443,0,0,19,23779
"ls -lusr","",0,722,3548,1949696,431,0,0,21,23724
"ls -lusr","",0,732,4052,1933312,430,0,0,18,23619
"ls -lusr","",0,757,3816,1654784,413,0,0,18,23711
"ls -lusr","",0,759,4092,1867776,426,0,0,21,23904
"ls -lusr","",0,730,3918,1949696,431,0,0,19,23801
"ls -lusr","",0,747,3948,1949696,431,0,0,20,23463
"ls -lusr","",0,748,3343,1867776,426,0,0,18,23547
"ls -lusr","",0,724,3558,1802240,422,0,0,21,24007
"ls -lusr","",0,722,4038,1966080,432,0,0,18,24126
"ls -lusr","",0,738,4042,2146304,443,0,0,19,23629
"ls -lusr","",0,756,4069,1949696,431,0,0,19,23737
"ls -lusr","",0,705,3891,1687552,415,0,0,18,23695
"ls -lusr","",0,745,3849,1867776,426,0,0,17,23874
"ls -lusr","",0,745,4076,1720320,417,0,0,19,23799
"ls -lusr","",0,708,2960,1966080,432,0,0,21,23841
"ls -lusr","",0,741,3974,1851392,425,0,0,18,23918
"ls -lusr","",0,732,4128,1949696,431,0,0,19,23719
"ls -lusr","",0,739,2167,1949696,431,0,0,18,24031
"ls -lusr","",0,734,4079,1949696,431,0,0,21,23646
"ls -lusr","",0,734,4073,1949696,431,0,0,17,23787
"ls -lusr","",0,723,3984,1949696,431,0,0,18,23455
"ls -lusr","",0,717,3985,1949696,431,0,0,22,23818
"ls -lusr","",0,737,3214,1998848,434,0,0,21,23773
"ls -lusr","",0,722,2086,2129920,442,0,0,17,23750
"ls -lusr","",0,748,4020,1720320,417,0,0,19,23806
"ls -lusr","",0,742,4067,1851392,425,0,0,18,23933
"ls -lusr","",0,723,2783,1720320,417,0,0,17,23656
"ls -lusr","",0,742,4022,1949696,431,0,0,18,23517
"ls -lusr","",0,719,4065,1884160,427,0,0,20,24643
"ls -lusr","",0,757,4000,1867776,426,0,0,19,23679
"ls -lusr","",0,739,3399,1835008,424,0,0,19,23874
"ls -lusr","",0,733,4015,1966080,432,0,0,18,23760
"ls -lusr","",0,745,3842,1654784,413,0,0,18,23629
"ls -lusr","",0,740,4026,1687552,415,0,0,20,24076
"ls -lusr","",0,742,3961,1851392,425,0,0,18,23622
"ls -lusr","",0,748,3460,1654784,413,0,0,20,23436
"ls -lusr","",0,746,4051,1949696,431,0,0,19,23796
"ls -lusr","",0,748,3587,1851392,425,0,0,19,23587
"ls -lusr","",0,738,4028,1884160,427,0,0,18,23531
"ls -lusr","",0,746,3980,1949696,431,0,0,19,23617
"ls -lusr","",0,741,4063,1851392,425,0,0,19,23611
"ls -lusr","",0,742,2282,2146304,443,0,0,18,23694
"ls -lusr","",0,756,2564,1867776,426,0,0,20,23532
"ls -lusr","",0,725,4036,1933312,430,0,0,19,23789
"ls -lusr","",0,745,3081,1884160,428,0,0,19,23602
"ls -lusr","",0,728,3991,1949696,433,0,0,18,23650
"ls -lusr","",0,741,3988,2129920,445,0,0,18,23481
"ls -lusr","",0,733,4033,1949696,434,0,0,19,24042
"ls -lusr","",0,734,4057,1867776,429,0,0,19,23790
"ls -lusr","",0,698,3988,1949696,434,0,0,20,24657
"ls -lusr","",0,738,3960,2146304,446,0,0,18,23821
"ls -lusr","",0,725,4027,1949696,434,0,0,17,23439
"ls -lusr","",0,735,3443,1949696,433,0,0,20,23652
"ls -lusr","",0,754,4033,1654784,415,0,0,21,23356
"ls -lusr","",0,727,4087,2129920,445,0,0,19,23622
"ls -lusr","",0,739,3257,1654784,416,0,0,20,23602
"ls -lusr","",0,723,4030,1933312,433,0,0,18,23737
"ls -lusr","",0,718,4083,1949696,434,0,0,17,23514
"ls -lusr","",0,760,3306,1867776,429,0,0,18,23715
"ls -lusr","",0,756,4089,2080768,442,0,0,21,24156
"ls -lusr","",0,732,3997,1867776,428,0,0,17,23989
"ls -lusr","",0,723,4018,1949696,432,0,0,19,23741
"ls -lusr","",0,723,4075,1933312,431,0,0,19,23568
"ls -lusr","",0,764,4086,1851392,426,0,0,19,23880
"ls -lusr","",0,741,4000,1867776,427,0,0,17,23454
"ls -lusr","",0,736,4083,1900544,429,0,0,19,23707
"ls -lusr","",0,735,4051,1949696,432,0,0,18,23565
"ls -lr","",0,718,4066,2129920,450,0,0,21,23635
"ls -lr","",0,743,4087,1949696,439,0,0,19,23884
"ls -lr","",0,747,4101,1687552,423,0,0,22,23853
"ls -lr","",0,736,4028,2146304,451,0,0,19,24101
"ls -lr","",0,740,4027,1851392,433,0,0,21,23534
"ls -lr","",0,725,3503,1900544,436,0,0,20,23564
"ls -lr","",0,728,2079,1949696,439,0,0,20,23871
"ls -lr","",0,745,2124,1949696,439,0,0,22,24043
"ls -lr","",0,747,4066,1851392,433,0,0,21,23697
"ls -lr","",0,754,3995,1687552,423,0,0,18,23690
"ls -lr","",0,741,4092,1949696,439,0,0,20,23902
"ls -lr","",0,750,3942,1966080,440,0,0,19,23980
"ls -lr","",0,723,4105,2146304,453,0,0,20,23665
"ls -lr","",0,751,4037,1654784,423,0,0,19,23863
"ls -lr","",0,723,4081,1867776,436,0,0,18,23910
"ls -lr","",0,714,3374,1900544,438,0,0,20,23664
"ls -lr","",0,735,4061,1949696,441,0,0,19,23942
"ls -lr","",0,740,4102,1900544,438,0,0,19,23764
"ls -lr","",0,740,3632,2162688,454,0,0,21,24573
"ls -lr","",0,749,4003,1687552,425,0,0,20,24274
"ls -lr","",0,751,4087,1900544,438,0,0,20,23613
"ls -lr","",0,725,4062,1949696,441,0,0,22,23828
"ls -lr","",0,738,3366,1654784,423,0,0,22,23934
"ls -lr","",0,746,3301,1867776,436,0,0,19,23603
"ls -lr","",0,758,4073,1949696,441,0,0,20,23882
"ls -lr","",0,702,3423,1654784,423,0,0,19,23661
"ls -lr","",0,706,4050,2146304,453,0,0,18,24059
"ls -lr","",0,732,3974,2129920,452,0,0,18,23636
"ls -lr","",0,721,3974,1933312,440,0,0,20,23812
"ls -lr","",0,744,4061,1851392,435,0,0,20,23860
"ls -lr","",0,736,4133,1884160,437,0,0,20,24046
"ls -lr","",0,722,4098,1966080,442,0,0,19,23644
"ls -lr","",0,733,4037,1949696,441,0,0,20,23783
"ls -lr","",0,743,3581,1654784,423,0,0,20,23813
"ls -lr","",0,701,4024,1802240,432,0,0,20,23461
"ls -lr","",0,745,4090,1884160,437,0,0,21,23674
"ls -lr","",0,731,4140,1949696,441,0,0,20,23784
"ls -lr","",0,751,2846,1867776,436,0,0,18,23839
"ls -lr","",0,720,3900,1949696,441,0,0,19,23689
"ls -lr","",0,751,4064,1687552,425,0,0,19,24897
"ls -lr","",0,732,2889,1884160,437,0,0,20,24377
"ls -lr","",0,721,2198,1851392,435,0,0,18,23979
"ls -lr","",0,724,4099,1949696,441,0,0,20,23710
"ls -lr","",0,748,4124,1851392,435,0,0,19,24032
"ls -lr","",0,732,3183,1982464,443,0,0,17,23974
"ls -lr","",0,729,4087,1687552,425,0,0,20,24212
"ls -lr","",0,728,3954,1949696,441,0,0,19,23768
"ls -lr","",0,748,4106,1966080,443,0,0,20,23924
"ls -lr","",0,738,4086,1933312,441,0,0,19,23636
"ls -lr","",0,746,4062,1654784,424,0,0,21,23872
"ls -lr","",0,710,3995,1949696,442,0,0,20,23660
"ls -lr","",0,742,3347,1884160,439,0,0,19,24058
"ls -lr","",0,736,4119,1851392,436,0,0,21,24119
"ls -lr","",0,725,4050,1654784,424,0,0,20,23586
"ls -lr","",0,728,4087,1867776,437,0,0,22,23816
"ls -lr","",0,754,3973,1982464,444,0,0,19,24026
"ls -lr","",0,728,3542,1949696,442,0,0,20,23882
"ls -lr","",0,739,4054,1867776,437,0,0,18,23670
"ls -lr","",0,736,4043,1933312,441,0,0,20,23787
"ls -lr","",0,735,4116,1966080,443,0,0,20,23987
"ls -lr","",0,717,2265,1867776,437,0,0,21,23954
"ls -lr","",0,736,4117,1884160,438,0,0,20,24192
"ls -lr","",0,740,4076,1654784,424,0,0,22,23771
