Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=2000;4*a(1)""","",0,72892,2858,1638400,411,1,0,9,94696
"bc -le ""scale=2000;4*a(1)""","",0,72910,3006,1638400,412,1,0,7,96241
"bc -le ""scale=2000;4*a(1)""","",0,72892,3453,1638400,412,1,0,7,94577
"bc -le ""scale=2000;4*a(1)""","",0,72862,3391,1638400,412,1,0,8,94624
"bc -le ""scale=2000;4*a(1)""","",0,72865,3378,1638400,413,1,0,9,94245
"bc -le ""scale=2000;4*a(1)""","",0,72934,1441,1638400,413,1,0,6,95015
"bc -le ""scale=2000;4*a(1)""","",0,72968,3419,1638400,413,1,0,5,94418
"bc -le ""scale=2000;4*a(1)""","",0,72936,3278,1638400,413,1,0,6,94950
"bc -le ""scale=2000;4*a(1)""","",0,72896,2413,1638400,413,1,0,8,94628
"bc -le ""scale=2000;4*a(1)""","",0,72866,1389,1638400,414,1,0,5,94661
"bc -le ""scale=2000;4*a(1)""","",0,72861,3361,1638400,414,1,0,9,94248
"bc -le ""scale=2000;4*a(1)""","",0,72967,3007,1638400,414,1,0,7,94697
"bc -le ""scale=2000;4*a(1)""","",0,72819,3379,1638400,414,1,0,9,94607
"bc -le ""scale=2000;4*a(1)""","",0,72863,3478,1638400,414,1,0,6,94525
"bc -le ""scale=2000;4*a(1)""","",0,72895,1453,1638400,414,1,0,7,94347
"bc -le ""scale=2000;4*a(1)""","",0,72912,3402,1638400,414,1,0,9,94531
"bc -le ""scale=2000;4*a(1)""","",0,72860,3367,1638400,414,1,0,7,94757
"bc -le ""scale=2000;4*a(1)""","",0,72933,3364,1638400,414,1,0,7,95300
"bc -le ""scale=2000;4*a(1)""","",0,72892,3414,1638400,414,1,0,8,94624
"bc -le ""scale=2000;4*a(1)""","",0,72889,2495,1638400,414,1,0,7,94729
"bc -le ""scale=2000;4*a(1)""","",0,72875,2724,1638400,412,1,0,7,94507
"bc -le ""scale=2000;4*a(1)""","",0,72845,3308,1638400,412,1,0,7,94735
"bc -le ""scale=2000;4*a(1)""","",0,73038,3431,1638400,412,1,0,8,94465
"bc -le ""scale=2000;4*a(1)""","",0,72892,3412,1638400,412,1,0,8,94835
"bc -le ""scale=2000;4*a(1)""","",0,72879,1850,1638400,412,1,0,9,94734
"bc -le ""scale=2000;4*a(1)""","",0,72793,2081,1638400,412,1,0,7,94728
"bc -le ""scale=2000;4*a(1)""","",0,72912,3373,1638400,412,1,0,8,94565
"bc -le ""scale=2000;4*a(1)""","",0,72921,2714,1638400,412,1,0,6,94928
"bc -le ""scale=2000;4*a(1)""","",0,72915,3387,1638400,412,1,0,6,94941
"bc -le ""scale=2000;4*a(1)""","",0,72834,3437,1638400,412,1,0,7,94780
"bc -le ""scale=2000;4*a(1)""","",0,72901,3374,1638400,412,1,0,6,94104
"bc -le ""scale=2000;4*a(1)""","",0,73731,1882,1933312,430,1,0,15,95514
"bc -le ""scale=2000;4*a(1)""","",0,73214,6476,1654784,413,17,2,37,99686
"bc -le ""scale=2000;4*a(1)""","",0,72916,3352,1638400,412,1,0,6,95226
"bc -le ""scale=2000;4*a(1)""","",0,72965,2842,1638400,412,1,0,10,94816
"bc -le ""scale=2000;4*a(1)""","",0,72936,1628,1638400,414,1,0,6,94917
"bc -le ""scale=2000;4*a(1)""","",0,72933,3469,1638400,414,1,0,9,94670
"bc -le ""scale=2000;4*a(1)""","",0,72980,3466,1638400,414,1,0,9,94462
"bc -le ""scale=2000;4*a(1)""","",0,72938,2458,1638400,414,1,0,6,94976
"bc -le ""scale=2000;4*a(1)""","",0,72867,3371,1638400,414,1,0,6,94628
