Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6537,3475,1622016,414,1,0,9,28368
"bc -le ""scale=700;4*a(1)""","",0,6488,2500,1622016,414,1,0,5,28627
"bc -le ""scale=700;4*a(1)""","",0,6742,3141,1622016,414,1,0,6,29175
"bc -le ""scale=700;4*a(1)""","",0,6741,1481,1622016,414,1,0,5,29299
"bc -le ""scale=700;4*a(1)""","",0,6462,3269,1622016,415,1,0,7,28544
"bc -le ""scale=700;4*a(1)""","",0,6513,1756,1622016,415,1,0,6,28577
"bc -le ""scale=700;4*a(1)""","",0,6506,3431,1622016,415,1,0,7,28423
"bc -le ""scale=700;4*a(1)""","",0,6489,3314,1622016,415,1,0,7,28325
"bc -le ""scale=700;4*a(1)""","",0,6488,3393,1622016,415,1,0,7,28388
"bc -le ""scale=700;4*a(1)""","",0,6494,3366,1622016,416,1,0,4,28369
"bc -le ""scale=700;4*a(1)""","",0,6492,3371,1622016,416,1,0,8,28364
"bc -le ""scale=700;4*a(1)""","",0,6474,3417,1622016,416,1,0,6,28349
"bc -le ""scale=700;4*a(1)""","",0,6527,3443,1622016,416,1,0,6,28456
"bc -le ""scale=700;4*a(1)""","",0,6478,3341,1622016,416,1,0,6,28229
"bc -le ""scale=700;4*a(1)""","",0,6497,3340,1622016,416,1,0,4,29060
"bc -le ""scale=700;4*a(1)""","",0,6518,2780,1622016,416,1,0,8,29869
"bc -le ""scale=700;4*a(1)""","",0,6495,3475,1622016,416,1,0,9,28606
"bc -le ""scale=700;4*a(1)""","",0,6464,3388,1622016,416,1,0,6,28578
"bc -le ""scale=700;4*a(1)""","",0,6527,3407,1622016,416,1,0,6,28422
"bc -le ""scale=700;4*a(1)""","",0,6522,2904,1622016,416,1,0,7,28276
"bc -le ""scale=700;4*a(1)""","",0,6514,3328,1622016,414,1,0,5,28652
"bc -le ""scale=700;4*a(1)""","",0,6501,3415,1622016,414,1,0,6,28331
"bc -le ""scale=700;4*a(1)""","",0,6479,3484,1622016,414,1,0,7,28420
"bc -le ""scale=700;4*a(1)""","",0,6500,3425,1622016,414,1,0,6,28283
"bc -le ""scale=700;4*a(1)""","",0,6495,3381,1622016,414,1,0,8,28318
"bc -le ""scale=700;4*a(1)""","",0,6486,3298,1622016,414,1,0,5,28585
"bc -le ""scale=700;4*a(1)""","",0,6508,3419,1622016,414,1,0,7,28604
"bc -le ""scale=700;4*a(1)""","",0,6477,3420,1622016,414,1,0,7,28432
"bc -le ""scale=700;4*a(1)""","",0,6448,3432,1622016,414,1,0,8,28348
"bc -le ""scale=700;4*a(1)""","",0,6523,3421,1622016,414,1,0,6,28216
"bc -le ""scale=700;4*a(1)""","",0,6483,3422,1622016,414,1,0,6,28236
