Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6503,3410,1622016,415,1,0,7,28486
"bc -le ""scale=700;4*a(1)""","",0,6515,3442,1622016,417,1,0,7,28751
"bc -le ""scale=700;4*a(1)""","",0,6719,3470,1622016,417,1,0,10,29190
"bc -le ""scale=700;4*a(1)""","",0,6761,2823,1622016,417,1,0,5,29294
"bc -le ""scale=700;4*a(1)""","",0,6499,3446,1622016,418,1,0,10,28480
"bc -le ""scale=700;4*a(1)""","",0,6498,3435,1622016,418,1,0,8,28348
"bc -le ""scale=700;4*a(1)""","",0,6501,3468,1622016,418,1,0,6,28582
"bc -le ""scale=700;4*a(1)""","",0,6498,3347,1622016,418,1,0,7,28516
"bc -le ""scale=700;4*a(1)""","",0,6487,3406,1622016,418,1,0,7,28654
"bc -le ""scale=700;4*a(1)""","",0,6501,3458,1622016,419,1,0,8,28604
"bc -le ""scale=700;4*a(1)""","",0,6483,3304,1622016,419,1,0,7,28583
"bc -le ""scale=700;4*a(1)""","",0,6516,3395,1622016,419,1,0,6,28470
"bc -le ""scale=700;4*a(1)""","",0,6506,3409,1622016,419,1,0,6,28900
"bc -le ""scale=700;4*a(1)""","",0,6516,2635,1622016,419,1,0,7,28617
"bc -le ""scale=700;4*a(1)""","",0,6494,3429,1622016,419,1,0,6,29025
"bc -le ""scale=700;4*a(1)""","",0,6467,3514,1622016,419,1,0,9,29870
"bc -le ""scale=700;4*a(1)""","",0,6484,3445,1622016,419,1,0,8,28910
"bc -le ""scale=700;4*a(1)""","",0,6457,3398,1622016,419,1,0,7,28687
"bc -le ""scale=700;4*a(1)""","",0,6486,3429,1622016,419,1,0,7,28589
"bc -le ""scale=700;4*a(1)""","",0,6468,2900,1622016,419,1,0,8,28754
"bc -le ""scale=700;4*a(1)""","",0,6490,3439,1622016,417,1,0,6,28630
"bc -le ""scale=700;4*a(1)""","",0,6502,2906,1622016,417,1,0,6,28920
"bc -le ""scale=700;4*a(1)""","",0,6444,3354,1622016,417,1,0,8,28383
"bc -le ""scale=700;4*a(1)""","",0,6490,3402,1622016,417,1,0,6,28493
"bc -le ""scale=700;4*a(1)""","",0,6460,3363,1622016,417,1,0,6,28168
"bc -le ""scale=700;4*a(1)""","",0,6471,3354,1622016,419,1,0,5,28547
"bc -le ""scale=700;4*a(1)""","",0,6492,3413,1622016,417,1,0,8,28538
"bc -le ""scale=700;4*a(1)""","",0,6650,3337,1622016,417,1,0,8,28902
