Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6459,3376,1622016,412,1,0,7,28704
"bc -le ""scale=700;4*a(1)""","",0,6498,3322,1622016,412,1,0,6,28977
"bc -le ""scale=700;4*a(1)""","",0,6731,3489,1622016,412,1,0,7,29431
"bc -le ""scale=700;4*a(1)""","",0,6716,1580,1622016,412,1,0,6,30040
"bc -le ""scale=700;4*a(1)""","",0,6494,3338,1622016,413,1,0,7,28568
"bc -le ""scale=700;4*a(1)""","",0,6503,3360,1622016,413,1,0,7,28877
"bc -le ""scale=700;4*a(1)""","",0,6491,3479,1622016,413,1,0,7,28876
"bc -le ""scale=700;4*a(1)""","",0,6505,3385,1622016,413,1,0,4,28498
"bc -le ""scale=700;4*a(1)""","",0,6492,2552,1622016,413,1,0,7,28859
"bc -le ""scale=700;4*a(1)""","",0,6477,3316,1622016,414,1,0,7,28411
"bc -le ""scale=700;4*a(1)""","",0,6510,3362,1622016,414,1,0,6,28672
"bc -le ""scale=700;4*a(1)""","",0,6471,3432,1622016,414,1,0,6,28534
"bc -le ""scale=700;4*a(1)""","",0,6494,2558,1622016,414,1,0,8,28775
"bc -le ""scale=700;4*a(1)""","",0,6465,3432,1622016,414,1,0,8,28543
"bc -le ""scale=700;4*a(1)""","",0,6476,3408,1622016,414,1,0,6,28586
"bc -le ""scale=700;4*a(1)""","",0,6456,3435,1622016,414,1,0,6,29702
"bc -le ""scale=700;4*a(1)""","",0,6520,3408,1622016,414,1,0,8,28840
"bc -le ""scale=700;4*a(1)""","",0,6482,3418,1622016,414,1,0,6,28524
"bc -le ""scale=700;4*a(1)""","",0,6494,3367,1622016,414,1,0,7,28836
"bc -le ""scale=700;4*a(1)""","",0,6495,3412,1622016,414,1,0,6,28728
"bc -le ""scale=700;4*a(1)""","",0,6492,2971,1622016,412,1,0,6,28645
"bc -le ""scale=700;4*a(1)""","",0,6472,3309,1622016,412,1,0,5,28424
"bc -le ""scale=700;4*a(1)""","",0,6464,3451,1622016,412,1,0,7,28491
