Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=500;4*a(1)""","",0,3252,3437,1605632,414,1,0,7,25134
"bc -le ""scale=500;4*a(1)""","",0,3259,3396,1605632,414,1,0,7,24875
"bc -le ""scale=500;4*a(1)""","",0,3252,2111,1605632,414,1,0,9,24461
"bc -le ""scale=500;4*a(1)""","",0,3257,3416,1605632,414,1,0,8,24788
"bc -le ""scale=500;4*a(1)""","",0,3274,3406,1605632,415,1,0,6,24837
"bc -le ""scale=500;4*a(1)""","",0,3264,3438,1605632,415,1,0,6,24689
"bc -le ""scale=500;4*a(1)""","",0,3249,2581,1605632,415,1,0,7,24517
"bc -le ""scale=500;4*a(1)""","",0,3242,3342,1605632,415,1,0,5,24663
"bc -le ""scale=500;4*a(1)""","",0,3266,3316,1605632,415,1,0,5,24435
"bc -le ""scale=500;4*a(1)""","",0,3268,3402,1605632,416,1,0,5,24645
"bc -le ""scale=500;4*a(1)""","",0,3248,3411,1605632,416,1,0,10,24466
"bc -le ""scale=500;4*a(1)""","",0,3249,3344,1605632,416,1,0,7,24818
"bc -le ""scale=500;4*a(1)""","",0,3244,3333,1605632,416,1,0,6,24509
"bc -le ""scale=500;4*a(1)""","",0,3378,2955,1605632,416,1,0,6,26563
"bc -le ""scale=500;4*a(1)""","",0,3253,1643,1605632,416,1,0,7,24782
"bc -le ""scale=500;4*a(1)""","",0,3260,1864,1605632,416,1,0,8,25016
"bc -le ""scale=500;4*a(1)""","",0,3259,3384,1605632,416,1,0,6,24644
"bc -le ""scale=500;4*a(1)""","",0,3256,2419,1605632,416,1,0,4,24964
"bc -le ""scale=500;4*a(1)""","",0,3249,3421,1605632,416,1,0,6,24417
"bc -le ""scale=500;4*a(1)""","",0,3280,1752,1605632,416,1,0,7,24743
"bc -le ""scale=500;4*a(1)""","",0,3241,3403,1605632,414,1,0,6,24301
"bc -le ""scale=500;4*a(1)""","",0,3243,3407,1605632,414,1,0,8,24505
"bc -le ""scale=500;4*a(1)""","",0,3241,3475,1605632,414,1,0,8,24367
"bc -le ""scale=500;4*a(1)""","",0,3264,3407,1605632,414,1,0,8,24504
"bc -le ""scale=500;4*a(1)""","",0,3225,3432,1605632,414,1,0,6,24795
"bc -le ""scale=500;4*a(1)""","",0,3260,3025,1605632,414,1,0,5,24434
"bc -le ""scale=500;4*a(1)""","",0,3267,3413,1605632,414,1,0,6,24357
"bc -le ""scale=500;4*a(1)""","",0,3256,3359,1605632,414,1,0,7,24603
"bc -le ""scale=500;4*a(1)""","",0,3269,3421,1605632,414,1,0,7,24341
"bc -le ""scale=500;4*a(1)""","",0,3259,3422,1605632,414,1,0,7,24378
"bc -le ""scale=500;4*a(1)""","",0,3248,2451,1605632,414,1,0,7,24429
"bc -le ""scale=500;4*a(1)""","",0,3261,2427,1605632,414,1,0,7,24713
"bc -le ""scale=500;4*a(1)""","",0,3259,2697,1605632,414,1,0,7,24459
"bc -le ""scale=500;4*a(1)""","",0,3296,2796,1605632,414,1,0,4,24783
"bc -le ""scale=500;4*a(1)""","",0,3259,2612,1605632,414,1,0,8,24550
"bc -le ""scale=500;4*a(1)""","",0,3345,3389,1605632,416,1,0,7,25070
"bc -le ""scale=500;4*a(1)""","",0,3252,3428,1605632,416,1,0,8,24195
"bc -le ""scale=500;4*a(1)""","",0,3217,2077,1605632,416,1,0,5,24673
"bc -le ""scale=500;4*a(1)""","",0,3212,3296,1605632,416,1,0,7,23945
"bc -le ""scale=500;4*a(1)""","",0,3251,3066,1605632,416,1,0,8,24524
"bc -le ""scale=500;4*a(1)""","",0,3255,2807,1605632,416,1,0,6,24473
"bc -le ""scale=500;4*a(1)""","",0,3276,2773,1605632,416,1,0,6,24750
"bc -le ""scale=500;4*a(1)""","",0,3177,3345,1605632,416,1,0,8,24484
"bc -le ""scale=500;4*a(1)""","",0,3197,3226,1605632,415,1,0,6,24327
"bc -le ""scale=500;4*a(1)""","",0,3201,3279,1605632,414,1,0,7,24223
"bc -le ""scale=500;4*a(1)""","",0,3195,3293,1605632,414,1,0,8,24239
"bc -le ""scale=500;4*a(1)""","",0,3281,2892,1605632,414,1,0,7,24786
"bc -le ""scale=500;4*a(1)""","",0,3270,1827,1605632,414,1,0,9,24812
"bc -le ""scale=500;4*a(1)""","",0,3279,3260,1605632,414,1,0,5,24751
"bc -le ""scale=500;4*a(1)""","",0,3253,3315,1605632,414,1,0,6,24630
"bc -le ""scale=500;4*a(1)""","",0,3243,3393,1605632,415,1,0,6,24800
"bc -le ""scale=500;4*a(1)""","",0,3257,3390,1605632,417,1,0,8,24614
"bc -le ""scale=500;4*a(1)""","",0,3218,3397,1605632,418,1,0,6,24558
"bc -le ""scale=500;4*a(1)""","",0,3233,3395,1605632,417,1,0,5,24484
"bc -le ""scale=500;4*a(1)""","",0,3217,3328,1605632,417,1,0,7,25548
"bc -le ""scale=500;4*a(1)""","",0,3253,3364,1605632,417,1,0,6,24899
"bc -le ""scale=500;4*a(1)""","",0,3253,3349,1605632,417,1,0,7,25000
"bc -le ""scale=500;4*a(1)""","",0,3241,3373,1605632,417,1,0,7,24947
"bc -le ""scale=500;4*a(1)""","",0,3257,3271,1605632,417,1,0,5,25016
"bc -le ""scale=500;4*a(1)""","",0,3198,3190,1605632,417,1,0,6,24572
"bc -le ""scale=500;4*a(1)""","",0,3191,3317,1605632,417,1,0,8,24744
"bc -le ""scale=500;4*a(1)""","",0,3196,3306,1605632,417,1,0,9,24334
"bc -le ""scale=500;4*a(1)""","",0,3202,3243,1605632,417,1,0,7,24691
"bc -le ""scale=500;4*a(1)""","",0,3264,3420,1605632,417,1,0,8,25098
"bc -le ""scale=500;4*a(1)""","",0,3226,3412,1605632,417,1,0,9,24857
"bc -le ""scale=500;4*a(1)""","",0,3234,1454,1605632,417,1,0,7,24969
"bc -le ""scale=500;4*a(1)""","",0,3221,3315,1605632,417,1,0,7,24979
"bc -le ""scale=500;4*a(1)""","",0,3233,2375,1605632,417,1,0,9,24911
"bc -le ""scale=500;4*a(1)""","",0,3206,3261,1605632,417,1,0,8,24837
"bc -le ""scale=500;4*a(1)""","",0,3215,3402,1605632,417,1,0,9,24714
"bc -le ""scale=500;4*a(1)""","",0,3199,3318,1605632,417,1,0,7,24790
"bc -le ""scale=500;4*a(1)""","",0,3242,2976,1605632,417,1,0,8,24853
"bc -le ""scale=500;4*a(1)""","",0,3214,3308,1605632,417,1,0,7,24852
"bc -le ""scale=500;4*a(1)""","",0,3228,3368,1605632,417,1,0,9,24983
"bc -le ""scale=500;4*a(1)""","",0,3224,3373,1605632,417,1,0,8,25708
"bc -le ""scale=495;4*a(1)""","",0,3245,3376,1605632,422,1,0,7,25029
"bc -le ""scale=495;4*a(1)""","",0,3237,3430,1605632,422,1,0,10,24904
"bc -le ""scale=495;4*a(1)""","",0,3257,3287,1605632,422,1,0,5,24808
"bc -le ""scale=495;4*a(1)""","",0,3258,3397,1605632,422,1,0,8,24882
"bc -le ""scale=495;4*a(1)""","",0,3224,3348,1605632,422,1,0,5,24990
"bc -le ""scale=495;4*a(1)""","",0,3255,3422,1605632,422,1,0,6,25026
"bc -le ""scale=495;4*a(1)""","",0,3228,2131,1605632,422,1,0,7,25110
"bc -le ""scale=495;4*a(1)""","",0,3233,3392,1605632,422,1,0,6,25006
"bc -le ""scale=495;4*a(1)""","",0,3246,2818,1605632,422,1,0,6,24828
"bc -le ""scale=495;4*a(1)""","",0,3251,2699,1605632,422,1,0,6,25160
"bc -le ""scale=495;4*a(1)""","",0,3228,3262,1605632,422,1,0,6,24923
"bc -le ""scale=495;4*a(1)""","",0,3199,3271,1605632,422,1,0,6,25121
"bc -le ""scale=495;4*a(1)""","",0,3215,3373,1605632,422,1,0,8,24795
"bc -le ""scale=495;4*a(1)""","",0,3208,3411,1605632,422,1,0,9,26113
"bc -le ""scale=495;4*a(1)""","",0,3197,3270,1605632,422,1,0,6,25139
"bc -le ""scale=495;4*a(1)""","",0,3270,2518,1605632,422,1,0,9,25304
"bc -le ""scale=495;4*a(1)""","",0,3240,1504,1605632,422,1,0,7,25247
"bc -le ""scale=495;4*a(1)""","",0,3217,1611,1605632,422,1,0,7,25022
"bc -le ""scale=495;4*a(1)""","",0,3231,2076,1605632,422,1,0,8,24957
"bc -le ""scale=495;4*a(1)""","",0,3250,2789,1605632,422,1,0,7,25028
"bc -le ""scale=495;4*a(1)""","",0,3236,3398,1605632,422,1,0,7,24710
"bc -le ""scale=495;4*a(1)""","",0,3249,3489,1605632,422,1,0,7,25072
"bc -le ""scale=495;4*a(1)""","",0,3252,2819,1605632,422,1,0,9,24915
"bc -le ""scale=495;4*a(1)""","",0,3198,3366,1605632,422,1,0,6,24873
"bc -le ""scale=495;4*a(1)""","",0,3218,3347,1605632,422,1,0,7,24764
"bc -le ""scale=495;4*a(1)""","",0,3229,3370,1605632,422,1,0,8,25015
"bc -le ""scale=495;4*a(1)""","",0,3221,3473,1605632,422,1,0,8,24869
"bc -le ""scale=495;4*a(1)""","",0,3241,3433,1605632,422,1,0,8,25029
"bc -le ""scale=495;4*a(1)""","",0,3247,3448,1605632,422,1,0,7,25120
"bc -le ""scale=495;4*a(1)""","",0,3240,3408,1605632,422,1,0,4,24964
"bc -le ""scale=495;4*a(1)""","",0,3242,3391,1605632,422,1,0,8,25084
"bc -le ""scale=495;4*a(1)""","",0,3237,3437,1605632,422,1,0,7,24886
"bc -le ""scale=495;4*a(1)""","",0,3246,3372,1605632,422,1,0,4,24899
"bc -le ""scale=495;4*a(1)""","",0,3217,3350,1605632,422,1,0,8,25416
"bc -le ""scale=495;4*a(1)""","",0,3234,2736,1605632,422,1,0,7,25224
"bc -le ""scale=495;4*a(1)""","",0,3247,2521,1605632,422,1,0,7,24712
"bc -le ""scale=495;4*a(1)""","",0,3262,3175,1605632,422,1,0,7,24775
"bc -le ""scale=495;4*a(1)""","",0,3243,3455,1605632,423,1,0,9,24794
"bc -le ""scale=495;4*a(1)""","",0,3226,3468,1605632,424,1,0,9,24781
"bc -le ""scale=495;4*a(1)""","",0,3218,3316,1605632,425,1,0,6,24716
"bc -le ""scale=495;4*a(1)""","",0,3234,3442,1605632,424,1,0,10,24893
"bc -le ""scale=495;4*a(1)""","",0,3212,3391,1605632,424,1,0,9,24859
"bc -le ""scale=495;4*a(1)""","",0,3234,3255,1605632,424,1,0,7,24768
"bc -le ""scale=495;4*a(1)""","",0,3226,3275,1605632,424,1,0,5,25052
"bc -le ""scale=495;4*a(1)""","",0,3221,2802,1605632,424,1,0,5,25113
"bc -le ""scale=495;4*a(1)""","",0,3245,2888,1605632,424,1,0,9,24866
"bc -le ""scale=495;4*a(1)""","",0,3248,3468,1605632,424,1,0,6,24716
"bc -le ""scale=495;4*a(1)""","",0,3222,3449,1605632,424,1,0,8,25030
"bc -le ""scale=495;4*a(1)""","",0,3239,2916,1605632,424,1,0,8,24975
"bc -le ""scale=495;4*a(1)""","",0,3253,3424,1605632,424,1,0,9,25026
"bc -le ""scale=495;4*a(1)""","",0,3225,1483,1605632,423,1,0,7,24962
"bc -le ""scale=495;4*a(1)""","",0,3180,3342,1605632,423,1,0,9,24469
"bc -le ""scale=495;4*a(1)""","",0,3216,1469,1605632,423,1,0,7,25020
"bc -le ""scale=495;4*a(1)""","",0,3204,3380,1605632,423,1,0,8,25075
"bc -le ""scale=495;4*a(1)""","",0,3202,3371,1605632,424,1,0,9,24948
"bc -le ""scale=495;4*a(1)""","",0,3194,3343,1605632,423,1,0,7,24692
"bc -le ""scale=495;4*a(1)""","",0,3181,3224,1605632,423,1,0,6,24520
"bc -le ""scale=495;4*a(1)""","",0,3197,3365,1605632,423,1,0,8,24665
"bc -le ""scale=495;4*a(1)""","",0,3185,3362,1605632,423,1,0,9,24602
"bc -le ""scale=495;4*a(1)""","",0,3208,2760,1605632,423,1,0,7,24815
"bc -le ""scale=495;4*a(1)""","",0,3241,3412,1605632,423,1,0,7,24737
"bc -le ""scale=495;4*a(1)""","",0,3227,3437,1605632,423,1,0,8,24960
"bc -le ""scale=495;4*a(1)""","",0,3224,3318,1605632,423,1,0,7,24854
"bc -le ""scale=495;4*a(1)""","",0,3217,2608,1605632,423,1,0,6,24896
"bc -le ""scale=495;4*a(1)""","",0,3210,3412,1605632,423,1,0,7,24794
"bc -le ""scale=495;4*a(1)""","",0,3227,3411,1605632,423,1,0,7,25102
"bc -le ""scale=495;4*a(1)""","",0,3342,3478,1605632,423,1,0,7,24941
