Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=496;4*a(1)""","",0,3251,3456,1605632,409,1,0,9,24921
"bc -le ""scale=496;4*a(1)""","",0,3233,3370,1605632,410,1,0,9,25198
"bc -le ""scale=496;4*a(1)""","",0,3220,3444,1605632,410,1,0,7,24807
"bc -le ""scale=496;4*a(1)""","",0,3350,3447,1605632,410,1,0,6,25877
"bc -le ""scale=496;4*a(1)""","",0,3331,2232,1605632,411,1,0,7,25946
"bc -le ""scale=496;4*a(1)""","",0,3243,2677,1605632,411,1,0,11,25715
"bc -le ""scale=496;4*a(1)""","",0,3222,1513,1605632,411,1,0,6,24977
"bc -le ""scale=496;4*a(1)""","",0,3237,2254,1605632,411,1,0,8,25261
"bc -le ""scale=496;4*a(1)""","",0,3225,2343,1605632,411,1,0,7,24925
"bc -le ""scale=496;4*a(1)""","",0,3225,2844,1605632,412,1,0,5,25092
"bc -le ""scale=496;4*a(1)""","",0,3241,3339,1605632,412,1,0,5,24902
"bc -le ""scale=496;4*a(1)""","",0,3234,3233,1605632,412,1,0,4,25149
"bc -le ""scale=496;4*a(1)""","",0,3225,3462,1605632,412,1,0,7,24737
"bc -le ""scale=496;4*a(1)""","",0,3234,3389,1605632,412,1,0,6,25204
"bc -le ""scale=496;4*a(1)""","",0,3238,3383,1605632,412,1,0,6,24751
"bc -le ""scale=496;4*a(1)""","",0,3251,3271,1605632,412,1,0,5,25051
"bc -le ""scale=496;4*a(1)""","",0,3236,3416,1605632,412,1,0,6,24770
"bc -le ""scale=496;4*a(1)""","",0,3339,1953,2031616,443,1,0,6,25501
"bc -le ""scale=496;4*a(1)""","",0,3283,1727,1605632,412,1,0,6,25845
"bc -le ""scale=496;4*a(1)""","",0,3220,2848,1605632,412,1,0,8,25383
"bc -le ""scale=496;4*a(1)""","",0,3230,3427,1605632,410,1,0,7,25150
"bc -le ""scale=496;4*a(1)""","",0,3252,3338,1605632,410,1,0,8,24881
"bc -le ""scale=496;4*a(1)""","",0,3255,3307,1605632,410,1,0,6,24952
"bc -le ""scale=496;4*a(1)""","",0,3257,3394,1605632,410,1,0,5,24960
"bc -le ""scale=496;4*a(1)""","",0,3226,3490,1605632,410,1,0,8,24873
"bc -le ""scale=496;4*a(1)""","",0,3234,3311,1605632,410,1,0,5,25033
"bc -le ""scale=496;4*a(1)""","",0,3236,1496,1605632,410,1,0,10,25057
"bc -le ""scale=496;4*a(1)""","",0,3246,3403,1605632,410,1,0,6,25007
"bc -le ""scale=496;4*a(1)""","",0,3232,3465,1605632,410,1,0,8,24807
"bc -le ""scale=496;4*a(1)""","",0,3240,3297,1605632,410,1,0,8,25008
"bc -le ""scale=496;4*a(1)""","",0,3238,3402,1605632,410,1,0,8,24838
"bc -le ""scale=496;4*a(1)""","",0,3223,3263,1605632,410,1,0,5,24811
"bc -le ""scale=496;4*a(1)""","",0,3273,3436,1605632,410,1,0,8,24877
"bc -le ""scale=496;4*a(1)""","",0,3263,3413,1605632,410,1,0,7,25233
"bc -le ""scale=496;4*a(1)""","",0,3257,3465,1605632,410,1,0,7,25141
"bc -le ""scale=496;4*a(1)""","",0,3236,3416,1605632,412,1,0,7,25201
"bc -le ""scale=496;4*a(1)""","",0,3242,3234,1605632,412,1,0,6,24958
"bc -le ""scale=496;4*a(1)""","",0,3234,3351,1605632,412,1,0,6,24859
"bc -le ""scale=496;4*a(1)""","",0,3235,2534,1605632,412,1,0,7,25194
"bc -le ""scale=496;4*a(1)""","",0,3232,3440,1605632,412,1,0,6,25079
"bc -le ""scale=496;4*a(1)""","",0,3225,3422,1605632,412,1,0,7,24625
"bc -le ""scale=496;4*a(1)""","",0,3219,3324,1605632,412,1,0,7,25023
"bc -le ""scale=496;4*a(1)""","",0,3248,3409,1605632,412,1,0,6,24695
"bc -le ""scale=496;4*a(1)""","",0,3236,3408,1605632,411,1,0,6,24805
"bc -le ""scale=496;4*a(1)""","",0,3219,3403,1605632,410,1,0,6,24828
"bc -le ""scale=496;4*a(1)""","",0,3229,2725,1605632,410,1,0,7,25102
"bc -le ""scale=496;4*a(1)""","",0,3209,3325,1605632,410,1,0,8,25088
"bc -le ""scale=496;4*a(1)""","",0,3232,3409,1605632,410,1,0,8,24915
"bc -le ""scale=496;4*a(1)""","",0,3199,3214,1605632,410,1,0,4,24907
"bc -le ""scale=496;4*a(1)""","",0,3203,3325,1605632,410,1,0,7,24910
"bc -le ""scale=496;4*a(1)""","",0,3208,3413,1605632,411,1,0,9,25023
"bc -le ""scale=496;4*a(1)""","",0,3258,3367,1605632,413,1,0,6,25084
"bc -le ""scale=496;4*a(1)""","",0,3181,3354,1605632,414,1,0,6,24889
"bc -le ""scale=496;4*a(1)""","",0,3247,3358,1605632,413,1,0,6,24776
"bc -le ""scale=496;4*a(1)""","",0,3238,3287,1605632,413,1,0,7,24982
"bc -le ""scale=496;4*a(1)""","",0,3238,3365,1605632,413,1,0,8,24917
"bc -le ""scale=496;4*a(1)""","",0,3241,3199,1605632,413,1,0,4,24673
"bc -le ""scale=496;4*a(1)""","",0,3236,3409,1605632,413,1,0,6,24951
"bc -le ""scale=496;4*a(1)""","",0,3232,3568,1605632,413,1,0,9,25381
"bc -le ""scale=496;4*a(1)""","",0,3244,3407,1605632,413,1,0,6,25272
"bc -le ""scale=496;4*a(1)""","",0,3213,3349,1605632,413,1,0,5,24706
"bc -le ""scale=496;4*a(1)""","",0,3228,3319,1605632,413,1,0,5,25022
"bc -le ""scale=496;4*a(1)""","",0,3257,3533,1605632,413,1,0,6,24949
"bc -le ""scale=496;4*a(1)""","",0,3227,3426,1605632,413,1,0,6,25048
"bc -le ""scale=496;4*a(1)""","",0,3246,1624,1605632,413,1,0,6,24919
"bc -le ""scale=496;4*a(1)""","",0,3240,3413,1605632,413,1,0,7,24963
"bc -le ""scale=496;4*a(1)""","",0,3240,3371,1605632,413,1,0,7,24677
"bc -le ""scale=496;4*a(1)""","",0,3233,3420,1605632,413,1,0,6,25012
"bc -le ""scale=496;4*a(1)""","",0,3215,2545,1605632,413,1,0,6,24924
"bc -le ""scale=496;4*a(1)""","",0,3243,3428,1605632,413,1,0,6,24865
"bc -le ""scale=496;4*a(1)""","",0,3245,3406,1605632,413,1,0,7,25000
"bc -le ""scale=496;4*a(1)""","",0,3224,3457,1605632,413,1,0,6,24944
"bc -le ""scale=496;4*a(1)""","",0,3246,3302,1605632,413,1,0,5,24933
"bc -le ""scale=496;4*a(1)""","",0,3219,3391,1605632,413,1,0,7,24772
"bc -le ""scale=496;4*a(1)""","",0,3214,3439,1605632,413,1,0,8,24857
"bc -le ""scale=494;4*a(1)""","",0,3247,3503,1605632,421,1,0,7,24838
"bc -le ""scale=494;4*a(1)""","",0,3230,3385,1605632,421,1,0,7,25085
"bc -le ""scale=494;4*a(1)""","",0,3239,2338,1605632,421,1,0,7,25213
"bc -le ""scale=494;4*a(1)""","",0,3228,3467,1605632,421,1,0,9,24832
"bc -le ""scale=494;4*a(1)""","",0,3226,3479,1605632,421,1,0,8,24891
"bc -le ""scale=494;4*a(1)""","",0,3226,3447,1605632,421,1,0,5,24856
"bc -le ""scale=494;4*a(1)""","",0,3233,2853,1605632,421,1,0,9,25024
"bc -le ""scale=494;4*a(1)""","",0,3216,3446,1605632,421,1,0,7,24877
"bc -le ""scale=494;4*a(1)""","",0,3251,3375,1605632,421,1,0,7,24923
"bc -le ""scale=494;4*a(1)""","",0,3245,2748,1605632,421,1,0,7,24804
"bc -le ""scale=494;4*a(1)""","",0,3234,3465,1605632,421,1,0,7,25009
"bc -le ""scale=494;4*a(1)""","",0,3245,1689,1605632,421,1,0,8,25157
"bc -le ""scale=494;4*a(1)""","",0,3254,3422,1605632,421,1,0,8,24724
"bc -le ""scale=494;4*a(1)""","",0,3248,3444,1605632,421,1,0,5,24904
"bc -le ""scale=494;4*a(1)""","",0,3226,3448,1605632,421,1,0,8,24944
"bc -le ""scale=494;4*a(1)""","",0,3247,1528,1605632,421,1,0,9,24877
"bc -le ""scale=494;4*a(1)""","",0,3241,3393,1605632,424,1,0,7,24780
"bc -le ""scale=494;4*a(1)""","",0,3245,3442,1605632,421,1,0,7,26139
"bc -le ""scale=494;4*a(1)""","",0,3263,1493,1605632,421,1,0,9,25039
"bc -le ""scale=494;4*a(1)""","",0,3242,3346,1605632,421,1,0,7,24981
"bc -le ""scale=494;4*a(1)""","",0,3242,3427,1605632,421,1,0,6,24976
"bc -le ""scale=494;4*a(1)""","",0,3229,3481,1605632,421,1,0,7,24996
"bc -le ""scale=494;4*a(1)""","",0,3249,3441,1605632,421,1,0,6,25199
"bc -le ""scale=494;4*a(1)""","",0,3257,3408,1605632,421,1,0,6,25011
"bc -le ""scale=494;4*a(1)""","",0,3213,3484,1605632,421,1,0,8,24926
"bc -le ""scale=494;4*a(1)""","",0,3233,3451,1605632,421,1,0,8,24862
"bc -le ""scale=494;4*a(1)""","",0,3241,3401,1605632,421,1,0,9,25072
"bc -le ""scale=494;4*a(1)""","",0,3246,3470,1605632,421,1,0,6,25060
"bc -le ""scale=494;4*a(1)""","",0,3213,3022,1605632,421,1,0,6,25051
"bc -le ""scale=494;4*a(1)""","",0,3225,3407,1605632,421,1,0,6,25091
"bc -le ""scale=494;4*a(1)""","",0,3242,3345,1605632,421,1,0,6,25065
"bc -le ""scale=494;4*a(1)""","",0,3240,2661,1605632,421,1,0,5,25043
"bc -le ""scale=494;4*a(1)""","",0,3242,3330,1605632,421,1,0,6,25184
"bc -le ""scale=494;4*a(1)""","",0,3246,3507,1605632,421,1,0,9,24909
"bc -le ""scale=494;4*a(1)""","",0,3236,3433,1605632,421,1,0,7,25150
"bc -le ""scale=494;4*a(1)""","",0,3241,3418,1605632,421,1,0,8,24955
"bc -le ""scale=494;4*a(1)""","",0,3218,3163,1605632,421,1,0,9,25377
"bc -le ""scale=494;4*a(1)""","",0,3208,1887,1605632,422,1,0,10,25375
"bc -le ""scale=494;4*a(1)""","",0,3219,3436,1605632,423,1,0,6,25314
"bc -le ""scale=494;4*a(1)""","",0,3223,3416,1605632,424,1,0,7,24971
"bc -le ""scale=494;4*a(1)""","",0,3212,3392,1605632,423,1,0,8,25101
"bc -le ""scale=494;4*a(1)""","",0,3194,3374,1605632,423,1,0,9,25622
"bc -le ""scale=494;4*a(1)""","",0,3193,3264,1605632,423,1,0,6,25207
"bc -le ""scale=494;4*a(1)""","",0,3195,3381,1605632,423,1,0,11,24906
"bc -le ""scale=494;4*a(1)""","",0,3193,3371,1605632,423,1,0,8,25250
"bc -le ""scale=494;4*a(1)""","",0,3183,3325,1605632,423,1,0,8,24933
"bc -le ""scale=494;4*a(1)""","",0,3188,3368,1605632,423,1,0,9,25079
"bc -le ""scale=494;4*a(1)""","",0,3225,3394,1605632,423,1,0,10,25119
"bc -le ""scale=494;4*a(1)""","",0,3243,3445,1605632,423,1,0,6,25012
"bc -le ""scale=494;4*a(1)""","",0,3233,3391,1605632,423,1,0,8,25133
"bc -le ""scale=494;4*a(1)""","",0,3216,3498,1605632,422,1,0,9,25083
"bc -le ""scale=494;4*a(1)""","",0,3245,3332,1605632,422,1,0,8,24978
"bc -le ""scale=494;4*a(1)""","",0,3241,3380,1605632,422,1,0,6,24927
"bc -le ""scale=494;4*a(1)""","",0,3255,3414,1605632,422,1,0,6,25016
"bc -le ""scale=494;4*a(1)""","",0,3228,3124,1605632,423,1,0,7,25111
"bc -le ""scale=494;4*a(1)""","",0,3254,3286,1605632,422,1,0,6,25151
"bc -le ""scale=494;4*a(1)""","",0,3236,3418,1605632,422,1,0,6,25083
"bc -le ""scale=494;4*a(1)""","",0,3286,3508,1605632,422,1,0,11,25412
"bc -le ""scale=494;4*a(1)""","",0,3246,3414,1605632,422,1,0,7,25010
"bc -le ""scale=494;4*a(1)""","",0,3229,3383,1605632,422,1,0,7,24941
"bc -le ""scale=494;4*a(1)""","",0,3222,3405,1605632,422,1,0,9,25041
"bc -le ""scale=494;4*a(1)""","",0,3237,3365,1605632,422,1,0,7,25042
"bc -le ""scale=494;4*a(1)""","",0,3220,3479,1605632,422,1,0,8,25140
"bc -le ""scale=494;4*a(1)""","",0,3218,3455,1605632,422,1,0,8,24999
"bc -le ""scale=494;4*a(1)""","",0,3234,3444,1605632,422,1,0,7,25084
