Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
ps A,,0,5921,24107,2670592,867,1,0,7,30621
ps A,,0,5692,23041,2670592,872,1,0,5,29397
ps A,,0,5644,22712,2670592,867,1,0,8,29097
ps A,,0,5654,22572,2670592,868,1,0,7,28854
ps A,,0,5635,22583,2670592,867,1,0,6,28863
ps A,,0,5834,23370,2670592,867,1,0,7,29801
ps A,,0,5792,23400,2670592,867,1,0,6,29774
ps A,,0,5587,22619,2670592,867,1,0,5,28794
ps A,,0,5633,22621,2670592,868,1,0,7,28855
ps A,,0,5653,22646,2670592,873,1,0,6,28927
ps A,,0,5601,22695,2670592,867,1,0,9,28864
ps A,,0,5604,22559,2670592,867,1,0,9,28725
ps A,,0,5643,22545,2670592,867,1,0,8,28796
ps A,,0,5622,22728,2670592,867,1,0,8,28926
ps A,,0,5638,22607,2670592,867,1,0,9,28853
ps A,,0,5618,22559,2670592,868,1,0,6,28762
ps A,,0,5616,22584,2670592,867,1,0,6,28804
ps A,,0,5584,22871,2670592,868,1,0,7,29013
ps A,,0,5770,24370,3473408,918,1,0,12,30845
ps A,,0,5627,22562,2670592,867,1,0,9,28855
ps A,,0,5623,22613,2670592,868,1,0,6,28802
ps A,,0,5598,22640,2670592,867,1,0,7,28813
ps A,,0,5636,22693,2670592,867,1,0,8,28907
ps A,,0,5632,22550,2670592,867,1,0,6,28830
ps A,,0,5612,22552,2670592,867,1,0,7,28729
ps A,,0,5587,22596,2670592,868,1,0,6,28784
ps A,,0,5579,22620,2670592,868,1,0,8,28778
ps A,,0,5620,22571,2670592,868,1,0,9,28829
ps A,,0,5628,22604,2670592,868,1,0,8,28819
ps A,,0,5594,22554,2670592,868,1,0,7,28759
ps A,,0,5621,22533,2670592,868,1,0,7,28702
ps A,,0,5612,22644,2670592,868,1,0,9,28829
ps A,,0,5600,22542,2670592,867,1,0,9,28708
ps A,,0,5594,22540,2670592,868,1,0,7,28696
ps A,,0,5598,22519,2670592,868,1,0,8,28717
ps A,,0,5662,22781,2670592,867,1,0,7,29065
ps A,,0,5568,22928,2670592,868,1,0,8,29321
