Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27728,4651,12943360,1390,4,1,5,53691
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27618,4530,12926976,1379,4,1,4,53490
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28504,7147,12795904,1369,4,1,104,60728
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27636,4654,12812288,1374,4,1,6,53766
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27630,4582,12812288,1372,4,1,4,53580
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28331,5362,12812288,1372,4,1,19,56705
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27655,4632,12812288,1372,4,1,4,53658
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27817,4563,12926976,1379,4,1,4,53881
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28384,7000,12910592,1378,4,1,111,60143
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27957,11402,12812288,1374,4,1,6,54298
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27583,4545,12795904,1371,4,1,4,53668
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27839,4563,12795904,1371,4,1,4,53438
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28157,5785,12861440,1371,4,1,59,59187
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27639,4712,12795904,1371,4,1,5,54112
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28190,4825,12795904,1371,4,1,6,54878
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27805,4578,12795904,1371,4,1,5,54209
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27593,4758,12795904,1371,4,1,4,54297
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27827,4862,12812288,1373,4,1,4,55164
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27615,4544,12845056,1374,4,1,4,53474
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27843,4711,12795904,1371,4,1,4,54159
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27795,4690,12861440,1375,4,1,5,54326
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27809,4542,12861440,1375,4,1,4,53700
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27608,4535,12795904,1371,4,1,4,53665
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27830,4677,12812288,1372,4,1,4,53876
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27587,4664,12812288,1372,4,1,5,54522
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27685,4527,12795904,1371,4,1,5,53677
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27831,4511,12861440,1375,4,1,4,53857
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27735,4539,12877824,1376,4,1,4,53664
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27627,4525,12795904,1371,4,1,4,53965
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,28124,4481,12795904,1371,4,1,4,53998
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27717,4621,12795904,1371,4,1,4,53740
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27748,4510,12910592,1378,4,1,4,53479
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27534,4563,12812288,1372,4,1,5,53544
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27905,4614,12812288,1374,4,1,4,54377
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27827,4578,12795904,1373,4,1,4,53673
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27694,4618,12795904,1373,4,1,4,53690
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27927,4547,12795904,1373,4,1,4,54194
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27518,4621,12795904,1373,4,1,4,53374
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27823,4617,12795904,1369,4,1,5,53917
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27681,4537,12795904,1373,4,1,4,53330
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27631,4572,12795904,1373,4,1,4,53541
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27718,4578,12795904,1373,4,1,4,53584
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27846,4600,12795904,1373,4,1,4,54678
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27719,4625,12795904,1373,4,1,4,53597
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27684,4573,12795904,1373,4,1,4,53766
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27736,4615,12795904,1373,4,1,5,53776
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27772,4626,12812288,1374,4,1,4,53866
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27596,4593,12812288,1374,4,1,4,53251
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27852,4536,12943360,1383,4,1,4,53651
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27686,4664,12959744,1383,4,1,5,53716
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27698,4607,12959744,1383,4,1,4,53840
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27869,4639,12795904,1372,4,1,4,53708
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27841,4536,12795904,1371,4,1,4,53715
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27652,4688,12812288,1372,4,1,4,53557
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27914,4644,12943360,1380,4,1,4,54072
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27709,4608,12795904,1371,4,1,4,53574
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27585,4552,12812288,1372,4,1,4,53359
"rosie match -o line 'find:{[0-9]{2} ""T"" [0-9]{2}}' /users/jennings/Data/syslog10k >/tmp/results.time","/bin/bash -c",0,27689,4530,12795904,1371,4,1,4,53299
